Unique_Advisor_Id,Unique_Investment_Id,Month,Shares,AUM,aum_per_share
1000103,14142,2016 / 01,11648.1267,200464.26,17.21
1000103,14142,2016 / 02,4286.6133,74587.072,17.4
1000103,14142,2016 / 03,858.36,15819.5748,18.43
1000103,14142,2016 / 04,858.36,16016.9977,18.66
1000103,14142,2016 / 05,858.36,16059.9157,18.71
1000103,14142,2016 / 06,847.225,16088.8028,18.99
1000103,14142,2016 / 07,847.225,16351.4425,19.3
1000103,14142,2016 / 08,847.225,16207.4143,19.13
1000103,14142,2016 / 09,845.81,16019.6413,18.94
1000103,14142,2016 / 10,845.81,15926.6023,18.83
1000103,14142,2016 / 11,845.81,16349.5073,19.33
1000103,14142,2016 / 12,845.81,16324.133,19.3
1000103,3462,2016 / 01,365.8367,2520.6147,6.89
1000103,3491,2016 / 01,1401.2033,30672.341,21.89
1000103,3491,2016 / 02,1401.2033,30294.016,21.62
1000103,3491,2016 / 03,1406.38,32234.2297,22.92
1000103,3534,2016 / 01,18.9685,1790.7667,94.4074
1000103,3534,2016 / 02,24.1292,2055.6,85.1915
1000103,3534,2016 / 03,25.027,2311.4667,92.3589
1000103,3534,2016 / 04,25.5588,2435.7833,95.301
1000103,3534,2016 / 05,52.2432,4984.0167,95.4004
1000103,3534,2016 / 06,26.7275,2507.9833,93.8353
1000103,3534,2016 / 07,27.4553,2677.5667,97.5245
1000103,3534,2016 / 08,28.2192,2822.4833,100.0201
1000103,3534,2016 / 09,28.7487,2875.4167,100.0191
1000103,3534,2016 / 10,29.817,2955.2167,99.1118
1000103,3534,2016 / 11,31.1455,3366.4167,108.0868
1000103,3534,2016 / 12,28.9208,3180.4833,109.9721
1000103,3567,2016 / 03,7070.7592,50555.928,7.15
1000103,3567,2016 / 04,0,0,-1
1000103,3567,2016 / 05,0,0,-1
1000103,3567,2016 / 06,0,0,-1
1000103,3567,2016 / 07,0,0,-1
1000103,3567,2016 / 08,0,0,-1
1000103,3567,2016 / 09,0,0,-1
1000103,3567,2016 / 10,0,0,-1
1000103,3567,2016 / 11,0,0,-1
1000103,3567,2016 / 12,0,0,-1
1000103,3573,2016 / 03,18825.8279,134416.4113,7.14
1000103,3573,2016 / 04,18825.8279,137052.0273,7.28
1000103,3573,2016 / 05,17910.4571,130925.4413,7.31
1000103,3573,2016 / 06,17910.4571,130209.023,7.27
1000103,3573,2016 / 07,17910.4571,132179.1733,7.38
1000103,3573,2016 / 08,17910.4571,132716.487,7.41
1000103,3573,2016 / 09,22483.1762,167724.4948,7.46
1000103,3573,2016 / 10,22483.1762,168398.9901,7.49
1000103,3573,2016 / 11,22483.1762,168398.9901,7.49
1000103,3573,2016 / 12,22483.1762,170197.6442,7.57
1000103,3651,2016 / 01,30.8355,2794.2167,90.6169
1000103,3651,2016 / 02,57.4222,4902.1333,85.3701
1000103,3651,2016 / 03,58.8178,5401.3,91.831
1000103,3651,2016 / 04,60.0978,5534.4,92.0898
1000103,3651,2016 / 05,103.6502,9491.8167,91.5755
1000103,3651,2016 / 06,63.2955,5654.1333,89.3292
1000103,3651,2016 / 07,64.8023,5986.7,92.384
1000103,3651,2016 / 08,66.4448,6131.5167,92.2798
1000103,3651,2016 / 09,69.1427,6389.9833,92.4174
1000103,3651,2016 / 10,71.47,6383.9333,89.3233
1000103,3651,2016 / 11,74.5695,6485.2833,86.9697
1000103,3651,2016 / 12,78.81,6998.4,88.8009
1000103,7668,2016 / 05,638.82,8374.9302,13.11
1000103,7668,2016 / 06,1082.9967,13504.9684,12.47
1000103,7668,2016 / 07,827.3567,10846.6458,13.11
1000103,7668,2016 / 08,0,0,-1
1000103,7668,2016 / 09,0,0,-1
1000103,7668,2016 / 10,0,0,-1
1000103,7668,2016 / 11,0,0,-1
1000103,7668,2016 / 12,0,0,-1
